id,y
1,90.00049751
2,120.6973112
3,100.6470037
4,82.01880855
5,104.1813282
6,79.47942584
7,126.803417
8,109.098262
9,87.17316484
10,108.6201324
11,109.5738429
12,110.3877578
13,103.8222852
14,101.9653681
15,94.00984636
16,95.91578166
17,142.1673476
18,117.6902322
19,95.36538386
20,124.6840813
21,92.51453215
22,102.430615
23,108.1748477
24,105.2921849
25,78.03860785
26,99.82325511
27,118.4954016
28,102.3403413
29,111.6138206
30,93.73192373
31,87.69641441
32,117.4431956
33,71.74790399
34,67.18691442
35,100.8603657
36,77.05950482
37,98.06712388
38,105.9401304
39,88.83001825
40,99.58389265
41,114.0480538
42,127.8825865
43,114.910409
44,95.11546939
45,118.4462084
46,106.1136024
47,125.8165023
48,121.2996474
49,91.73036119
50,91.91931831